CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
5118.0,HR/Normal user tries to update the answer,01-MAR-24 04.27.19.136000 PM
5616.0,Normal user enters the Provvidenza Figli page,01-MAR-24 03.50.59.523000 PM
5352.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.56.55.288000 PM
7044.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.29.38.460000 PM
13002300.0,Dettaglio elenco Cedolini e CU disponibili al download,01-MAR-24 04.50.50.436000 PM
5736.0,HR/Normal user tries to update the answer,01-MAR-24 03.51.20.457000 PM
5750.0,HR/Normal user tries to update the answer,01-MAR-24 04.31.04.858000 PM
5163.0,Normal user assign new grade for the child while creating a request,04-MAR-24 02.17.04.540000 PM
6417.0,HR/Normal user tries to update the answer,01-MAR-24 03.55.46.320000 PM
5346.0,Normal user update grade for a child,01-MAR-24 03.59.18.388000 PM
6417.0,Normal / HR user updates the answer,01-MAR-24 03.55.35.160000 PM
6783.0,Recupero dettagliutente per Scelta Welfare,01-MAR-24 03.45.37.401000 PM
7063.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.10.50.929000 PM
5346.0,Normal user enters the Provvidenza Figli page,01-MAR-24 03.59.28.105000 PM
5173.0,Normal user assign new grade for the child while creating a request,01-MAR-24 04.15.35.725000 PM
6626.0,HR/Normal user tries to update the answer,07-MAR-24 08.48.02.582000 AM
6199.0,HR user enters the Change Tipo Provvidenza  configuration,01-MAR-24 10.55.42.793000 AM
7044.0,Normal user tries to create new Provvidenza request for a child,01-MAR-24 04.29.56.383000 PM
6199.0,Normal user enters the Provvidenza Figli page,18-MAR-24 12.42.54.545000 PM
5323.0,Normal user tries to create new Provvidenza request for a child,01-MAR-24 05.21.43.055000 PM
13001715.0,Recupero dettagliutente per Scelta Welfare,04-MAR-24 02.27.43.965000 PM
5497.0,HR/Normal user tries to update the answer,01-MAR-24 04.53.06.620000 PM
5831.0,HR/Normal user tries to update the answer,01-MAR-24 03.49.15.329000 PM
5396.0,HR/Normal user tries to update the answer,01-MAR-24 03.51.05.359000 PM
9882.0,Normal user enters the Provvidenza Figli page,04-MAR-24 02.38.28.540000 PM
5281.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.17.13.714000 PM
5264.0,Normal user assign new grade for the child while creating a request,07-MAR-24 08.10.49.655000 AM
6783.0,Recupero dettagli utente per Scelta orario di lavoro,01-MAR-24 03.51.00.551000 PM
5396.0,HR/Normal user tries to update the answer,01-MAR-24 03.50.43.954000 PM
13001691.0,Dettaglio elenco Cedolini e CU disponibili al download,18-MAR-24 12.36.44.041000 PM
5509.0,HR/Normal user tries to update the answer,01-MAR-24 04.28.35.960000 PM
7869.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.21.25.573000 PM
5736.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.51.18.794000 PM
5163.0,HR/Normal user tries to update the answer,04-MAR-24 02.17.29.410000 PM
5509.0,Normal user tries to create new Provvidenza request for a child,01-MAR-24 04.24.03.127000 PM
5352.0,HR/Normal user tries to update the answer,01-MAR-24 04.59.11.785000 PM
13000474.0,Dettaglio elenco Cedolini e CU disponibili al download,26-MAR-24 09.03.11.352000 AM
13000777.0,Dettaglio elenco Cedolini e CU disponibili al download,26-MAR-24 09.12.10.815000 AM
13001691.0,Dettaglio elenco Cedolini e CU disponibili al download,26-MAR-24 09.10.38.349000 AM
5753.0,HR/Normal user tries to update the answer,01-MAR-24 03.40.53.670000 PM
5224.0,Normal user enters the Provvidenza Figli page,01-MAR-24 04.56.24.661000 PM
5753.0,Normal user enters the Provvidenza Figli page,01-MAR-24 03.41.17.062000 PM
19217.0,Download PDF dalla sezione Cedolini,27-MAR-24 09.25.37.984000 AM
5887.0,HR/Normal user tries to update the answer,13-MAR-24 08.56.29.693000 AM
16657.0,Recupero dettagliutente per Scelta Welfare,27-MAR-24 06.52.00.213000 PM
5323.0,HR/Normal user tries to update the answer,01-MAR-24 05.24.14.744000 PM
13002338.0,Lettura e accettazione dell'accordo di smartworking,07-MAR-24 07.06.19.428000 AM
6677.0,Normal user tries to create new Provvidenza request for a child,04-MAR-24 01.59.44.761000 PM
17717.0,Normal user enters the Provvidenza Figli page,04-MAR-24 10.01.48.446000 AM
5145.0,HR/Normal user tries to update the answer,07-MAR-24 08.15.40.850000 AM
5163.0,Normal user enters the Provvidenza Figli page,04-MAR-24 02.15.56.834000 PM
,HR/Normal user tries to update the answer,04-MAR-24 02.37.23.540000 PM
13001483.0,Dettaglio elenco Cedolini e CU disponibili al download,25-MAR-24 05.08.46.332000 PM
5160.0,HR/Normal user tries to update the answer,04-MAR-24 10.02.29.768000 AM
19359.0,Dettaglio elenco Cedolini e CU disponibili al download,04-MAR-24 10.02.29.744000 AM
5228.0,Download PDF dalla sezione Cedolini,20-MAR-24 02.58.43.261000 PM
6199.0,Normal user enters the Provvidenza Figli page,18-MAR-24 12.35.20.623000 PM
6709.0,Dettaglio elenco Cedolini e CU disponibili al download,20-MAR-24 02.23.28.110000 PM
6472.0,Dettaglio elenco Cedolini e CU disponibili al download,01-MAR-24 04.07.05.557000 PM
6470.0,Normal user enters the Provvidenza Figli page,14-MAR-24 12.44.28.167000 PM
7044.0,Normal user update grade for a child,01-MAR-24 04.29.07.091000 PM
5270.0,HR/Normal user tries to update the answer,18-MAR-24 12.44.46.376000 PM
6199.0,Normal user enters the Provvidenza Figli page,04-MAR-24 10.49.16.510000 AM
18431.0,HR user tries to load Funzioni Batch,04-MAR-24 02.59.06.255000 PM
6626.0,Normal user assign new grade for the child while creating a request,07-MAR-24 08.48.33.921000 AM
5743.0,Dettaglio elenco Cedolini e CU disponibili al download,24-MAR-24 11.15.09.691000 AM
,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,01-MAR-24 05.19.10.332000 PM
5160.0,HR tried to update grade,04-MAR-24 10.02.22.411000 AM
7341.0,HR/Normal user tries to update the answer,01-MAR-24 05.16.25.543000 PM
5954.0,HR/Normal user tries to update the answer,18-MAR-24 01.14.59.045000 PM
6147.0,HR/Normal user tries to update the answer,06-MAR-24 10.16.42.983000 AM
6147.0,HR/Normal user tries to update the answer,06-MAR-24 10.16.36.272000 AM
6587.0,Normal user enters the Provvidenza Figli page,13-MAR-24 06.09.35.144000 PM
17717.0,HR/Normal user tries to update the answer,04-MAR-24 09.57.04.813000 AM
13002358.0,Recupero dettagli utente per invio adesione Fondo Nazionale,13-MAR-24 05.56.40.387000 PM
13002295.0,Dettaglio elenco Cedolini e CU disponibili al download,21-MAR-24 12.06.12.967000 PM
14568.0,Dettaglio elenco Cedolini e CU disponibili al download,19-MAR-24 11.26.15.088000 AM
7488.0,Dettaglio elenco Cedolini e CU disponibili al download,04-MAR-24 09.53.50.862000 AM
16657.0,Dettaglio elenco Cedolini e CU disponibili al download,27-MAR-24 06.52.28.821000 PM
5427.0,Dettaglio elenco Cedolini e CU disponibili al download,19-MAR-24 08.39.41.819000 AM
13002349.0,Recupero dettagli utente per Scelta orario di lavoro,29-MAR-24 04.25.00.727000 PM
6199.0,Normal user enters the Provvidenza Figli page,06-MAR-24 10.04.08.808000 AM
13001715.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,06-MAR-24 10.14.57.847000 AM
13000846.0,Download PDF dalla sezione Cedolini,13-MAR-24 05.59.08.767000 PM
8001.0,Dettaglio elenco Cedolini e CU disponibili al download,26-MAR-24 09.31.30.196000 PM
5552.0,Normal user enters the Provvidenza Figli page,13-MAR-24 06.24.10.798000 PM
10656.0,Dettaglio elenco Cedolini e CU disponibili al download,19-MAR-24 10.34.38.027000 AM
5128.0,HR/Normal user tries to update the answer,18-MAR-24 02.40.16.441000 PM
