CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
13000847.0,Download PDF dalla sezione Cedolini,08-JAN-24 03.53.48.052000 PM
19388.0,Download PDF dalla sezione Cedolini,23-JAN-24 03.37.27.185000 PM
9613.0,Recupero dettagli utente per invio adesione Fondo Nazionale,08-JAN-24 09.06.44.561000 AM
18281.0,Dettaglio elenco Cedolini e CU disponibili al download,08-JAN-24 07.47.21.489000 AM
13001505.0,Dettaglio elenco Cedolini e CU disponibili al download,24-JAN-24 04.52.19.403000 PM
13001671.0,Recupero dettagliutente per Scelta Welfare,24-JAN-24 10.42.14.663000 AM
6199.0,HR user tries to load Funzioni Batch,24-JAN-24 03.03.03.738000 PM
5486.0,Dettaglio elenco Cedolini e CU disponibili al download,05-JAN-24 09.04.21.415000 AM
13000157.0,Dettaglio elenco Cedolini e CU disponibili al download,04-JAN-24 11.10.01.925000 AM
13000724.0,Dettaglio elenco Cedolini e CU disponibili al download,11-JAN-24 07.42.04.289000 PM
5772.0,Download PDF dalla sezione Cedolini,04-JAN-24 04.08.01.594000 PM
13002165.0,Download PDF dalla sezione Cedolini,30-JAN-24 08.25.12.386000 AM
18134.0,Recupero dettagli utente per Scelta orario di lavoro,04-JAN-24 11.10.56.850000 AM
7365.0,Dettaglio elenco Cedolini e CU disponibili al download,04-JAN-24 12.09.03.987000 PM
13000929.0,Download PDF dalla sezione Cedolini,02-JAN-24 01.05.56.501000 PM
5486.0,Dettaglio elenco Cedolini e CU disponibili al download,05-JAN-24 09.05.20.445000 AM
13001269.0,Recupero dettagli utente per Scelta orario di lavoro,30-JAN-24 08.30.05.840000 AM
6188.0,Recupero dettagli utente per invio adesione Fondo Nazionale,23-JAN-24 11.00.30.440000 PM
13002075.0,Dettaglio elenco Cedolini e CU disponibili al download,05-JAN-24 05.20.52.319000 PM
8904.0,Dettaglio elenco Cedolini e CU disponibili al download,29-JAN-24 08.42.29.411000 AM
13001737.0,Dettaglio elenco Cedolini e CU disponibili al download,04-JAN-24 11.25.01.504000 AM
13000826.0,Dettaglio elenco Cedolini e CU disponibili al download,05-JAN-24 11.46.11.507000 AM
13001578.0,Download PDF dalla sezione Cedolini,30-JAN-24 08.35.41.623000 AM
5595.0,Dettaglio elenco Cedolini e CU disponibili al download,04-JAN-24 01.03.04.489000 PM
13000465.0,Dettaglio elenco Cedolini e CU disponibili al download,05-JAN-24 03.56.34.655000 PM
13000301.0,Dettaglio elenco Cedolini e CU disponibili al download,13-JAN-24 11.58.39.957000 PM
6817.0,Download PDF dalla sezione Cedolini,31-JAN-24 12.33.47.695000 PM
17991.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,04-JAN-24 11.16.03.581000 AM
13001740.0,Dettaglio elenco Cedolini e CU disponibili al download,04-JAN-24 12.12.52.643000 PM
8585.0,Download PDF dalla sezione Cedolini,29-JAN-24 05.58.37.721000 PM
6717.0,Dettaglio elenco Cedolini e CU disponibili al download,11-JAN-24 08.47.43.066000 AM
13000156.0,Dettaglio elenco Cedolini e CU disponibili al download,04-JAN-24 03.06.54.949000 PM
8734.0,Download PDF dalla sezione Cedolini,24-JAN-24 12.53.34.033000 PM
7365.0,Download PDF dalla sezione Cedolini,04-JAN-24 12.08.25.905000 PM
8040.0,Dettaglio elenco Cedolini e CU disponibili al download,22-JAN-24 11.48.25.543000 AM
14616.0,Dettaglio elenco Cedolini e CU disponibili al download,02-JAN-24 08.54.44.079000 AM
8017.0,Normal user enters the Provvidenza Figli page,04-JAN-24 11.15.50.681000 AM
7817.0,Dettaglio elenco Cedolini e CU disponibili al download,29-JAN-24 12.33.21.771000 PM
13001025.0,Recupero dettagliutente per Scelta Welfare,05-JAN-24 03.12.31.239000 PM
13000120.0,Recupero dettagliutente per Scelta Welfare,02-JAN-24 06.02.11.013000 PM
11980973.0,Download PDF dalla sezione Cedolini,04-JAN-24 12.56.06.590000 PM
5972.0,Dettaglio elenco Cedolini e CU disponibili al download,12-JAN-24 11.46.07.613000 AM
17352.0,Recupero dettagli utente per Scelta orario di lavoro,22-JAN-24 12.27.40.440000 PM
17424.0,Download PDF dalla sezione Cedolini,02-JAN-24 12.56.00.446000 PM
7470.0,Download PDF dalla sezione Cedolini,22-JAN-24 01.07.25.430000 PM
18703.0,Dettaglio elenco Cedolini e CU disponibili al download,29-JAN-24 05.27.27.805000 PM
13000701.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,12-JAN-24 04.26.56.176000 PM
19449.0,Dettaglio elenco Cedolini e CU disponibili al download,29-JAN-24 08.59.40.127000 AM
,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,02-JAN-24 08.54.32.261000 AM
18681.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,05-JAN-24 03.40.53.369000 PM
17424.0,Download PDF dalla sezione Cedolini,02-JAN-24 12.55.48.241000 PM
6948.0,Normal user enters the Provvidenza Figli page,12-JAN-24 03.54.05.254000 PM
