CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
12001424.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.16.55.109000 PM
13002985.0,Dettaglio elenco Cedolini e CU disponibili al download,05-NOV-24 11.15.34.320000 AM
13001237.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.14.14.502000 PM
13000966.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.04.06.186000 PM
17624.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.15.47.699000 PM
13002695.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.03.38.164000 PM
13002262.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.42.56.132000 PM
17624.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.16.04.665000 PM
13002735.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,02-NOV-24 09.31.25.382000 PM
13001624.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.38.36.346000 PM
13001883.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.29.45.078000 PM
6745.0,Download PDF dalla sezione Cedolini,26-NOV-24 05.30.53.665000 PM
13001251.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.31.45.289000 PM
13002296.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.00.04.385000 PM
17624.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.16.12.102000 PM
13002074.0,Download PDF dalla sezione Cedolini,20-NOV-24 09.26.00.965000 AM
13001883.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.11.45.224000 PM
13002408.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.40.33.172000 PM
13001718.0,Download PDF dalla sezione Cedolini,26-NOV-24 05.27.01.065000 PM
5633.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.09.06.137000 PM
5463.0,Accesso alle funzionalità BackOffice di Cedolini e CU per dettaglio PDF caricati per società,26-NOV-24 05.31.15.077000 PM
13001883.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.24.18.423000 PM
13001546.0,Download PDF dalla sezione Cedolini,26-NOV-24 05.54.46.724000 PM
17717.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 06.05.47.179000 PM
13001883.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.24.11.889000 PM
6594.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,20-NOV-24 09.54.13.251000 AM
16639.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.38.49.470000 PM
5430.0,Download PDF dalla sezione Cedolini,26-NOV-24 05.41.15.490000 PM
13003056.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,20-NOV-24 12.35.59.778000 PM
13001694.0,Dettaglio elenco Cedolini e CU disponibili al download,20-NOV-24 12.30.45.238000 PM
5463.0,Accesso alle funzionalità BackOffice di Cedolini e CU per dettaglio PDF caricati per società,26-NOV-24 05.20.17.824000 PM
13000214.0,Dettaglio elenco Cedolini e CU disponibili al download,10-NOV-24 07.18.06.055000 PM
13001883.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.26.54.985000 PM
15738.0,Recupero dettagli utente per Scelta orario di lavoro,05-NOV-24 11.22.29.753000 AM
11980973.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.13.38.772000 PM
13001694.0,Download PDF dalla sezione Cedolini,20-NOV-24 12.30.49.628000 PM
13002074.0,Download PDF dalla sezione Cedolini,20-NOV-24 09.27.59.545000 AM
13003061.0,Recupero dettagliutente per Scelta Welfare,20-NOV-24 09.22.01.745000 AM
13001446.0,Dettaglio elenco Cedolini e CU disponibili al download,26-NOV-24 05.29.06.990000 PM
6180.0,Download PDF dalla sezione Cedolini,27-NOV-24 04.47.38.723000 PM
13002718.0,Dettaglio elenco Cedolini e CU disponibili al download,06-NOV-24 03.22.07.643000 PM
13000739.0,Download PDF dalla sezione Cedolini,12-NOV-24 03.04.12.501000 PM
13002700.0,Recupero dettagliutente per Scelta Welfare,07-NOV-24 09.46.52.433000 AM
13000264.0,Dettaglio elenco Cedolini e CU disponibili al download,13-NOV-24 03.18.50.835000 PM
9906.0,Dettaglio elenco Cedolini e CU disponibili al download,13-NOV-24 03.34.24.768000 PM
16394.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,24-NOV-24 09.46.30.579000 PM
13002538.0,Download PDF dalla sezione Cedolini,12-NOV-24 03.09.08.305000 PM
