CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
6049.0,Normal user enters the Provvidenza Figli page,07-MAR-25 03.28.03.903000 PM
13002130.0,Dettaglio elenco Cedolini e CU disponibili al download,19-MAR-25 10.59.34.253000 AM
6739.0,Dettaglio elenco Cedolini e CU disponibili al download,31-MAR-25 04.09.28.662000 PM
6613.0,HR/Normal user tries to update the answer,07-MAR-25 05.34.01.967000 PM
5796.0,Download PDF dalla sezione Cedolini,18-MAR-25 08.45.40.702000 AM
13000966.0,Dettaglio elenco Cedolini e CU disponibili al download,18-MAR-25 12.24.40.084000 PM
5838.0,Dettaglio elenco Cedolini e CU disponibili al download,18-MAR-25 08.42.46.086000 AM
13002024.0,Download PDF dalla sezione Cedolini,26-MAR-25 04.20.06.825000 PM
5138.0,HR/Normal user tries to update the answer,14-MAR-25 01.03.12.548000 PM
5750.0,HR/Normal user tries to update the answer,19-MAR-25 11.49.31.650000 AM
6199.0,Normal user enters the Provvidenza Figli page,19-MAR-25 10.41.35.478000 AM
6613.0,Normal user enters the Provvidenza Figli page,07-MAR-25 08.53.07.529000 AM
7869.0,Normal user enters the Provvidenza Figli page,07-MAR-25 02.28.15.787000 PM
5797.0,Normal user enters the Provvidenza Figli page,14-MAR-25 01.24.02.416000 PM
13002468.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,31-MAR-25 04.11.22.340000 PM
13000525.0,Dettaglio elenco Cedolini e CU disponibili al download,14-MAR-25 12.41.59.028000 PM
13001928.0,This is the Visualizzazione Audit log to register the details of the popup configuration text that is retrieved at the time the popup is opened in Provvidenze Figli Creation page,07-MAR-25 04.48.51.874000 PM
13003272.0,Recupero dettagli utente per Scelta orario di lavoro,05-MAR-25 12.22.47.956000 AM
5750.0,HR/Normal user tries to update the answer,19-MAR-25 11.55.51.068000 AM
13000826.0,Download PDF dalla sezione Cedolini,23-MAR-25 05.56.45.275000 PM
13001198.0,Dettaglio elenco Cedolini e CU disponibili al download,26-MAR-25 06.52.50.420000 PM
13001546.0,Dettaglio elenco Cedolini e CU disponibili al download,06-MAR-25 02.51.50.429000 PM
5791.0,HR/Normal user tries to update the answer,07-MAR-25 08.42.42.831000 AM
18000.0,Dettaglio elenco Cedolini e CU disponibili al download,19-MAR-25 11.24.42.702000 AM
16786.0,Dettaglio elenco Cedolini e CU disponibili al download,11-MAR-25 01.59.53.254000 PM
13002381.0,Download PDF dalla sezione Cedolini,26-MAR-25 07.02.13.297000 PM
13001053.0,Dettaglio elenco Cedolini e CU disponibili al download,14-MAR-25 12.39.46.437000 PM
5655.0,Normal / HR user updates the answer,14-MAR-25 12.25.13.065000 PM
5641.0,Download PDF dalla sezione Cedolini,18-MAR-25 08.42.56.951000 AM
7918.0,Dettaglio elenco Cedolini e CU disponibili al download,07-MAR-25 09.18.55.626000 AM
13000525.0,Download PDF dalla sezione Cedolini,14-MAR-25 12.42.03.654000 PM
7958.0,HR tried to update grade,07-MAR-25 09.53.06.459000 AM
6636.0,Normal user tries to create new Provvidenza request for a child,07-MAR-25 09.17.40.967000 AM
7309.0,HR tried to update grade,07-MAR-25 09.16.25.695000 AM
17305.0,Dettaglio elenco Cedolini e CU disponibili al download,07-MAR-25 04.58.38.874000 PM
13003327.0,Recupero dettagli utente per invio adesione Fondo Nazionale,07-MAR-25 02.30.47.890000 PM
5456.0,Normal user enters the Provvidenza Figli page,07-MAR-25 08.36.14.320000 AM
5717.0,HR/Normal user tries to update the answer,07-MAR-25 08.37.12.851000 AM
5642.0,HR/Normal user tries to update the answer,07-MAR-25 08.58.33.204000 AM
5456.0,HR/Normal user tries to update the answer,07-MAR-25 08.35.15.764000 AM
15757.0,Dettaglio elenco Cedolini e CU disponibili al download,24-MAR-25 10.49.59.093000 AM
6199.0,Normal user enters the Provvidenza Figli page,19-MAR-25 11.11.09.518000 AM
13001944.0,Dettaglio elenco Cedolini e CU disponibili al download,26-MAR-25 02.47.09.701000 PM
5497.0,HR/Normal user tries to update the answer,07-MAR-25 09.59.13.957000 AM
6839.0,HR/Normal user tries to update the answer,07-MAR-25 09.07.54.060000 AM
13001175.0,HR tried to update grade,07-MAR-25 08.54.33.551000 AM
15635.0,HR/Normal user tries to update the answer,19-MAR-25 09.50.36.299000 AM
5504.0,Normal user enters the Provvidenza Figli page,07-MAR-25 11.23.08.805000 AM
6268.0,Normal user enters the Provvidenza Figli page,07-MAR-25 09.49.55.838000 AM
13001176.0,Download PDF dalla sezione Cedolini,26-MAR-25 08.05.59.193000 PM
9756.0,Download PDF dalla sezione Cedolini,26-MAR-25 08.17.03.950000 PM
6059.0,Normal user enters the Provvidenza Figli page,07-MAR-25 08.39.09.675000 AM
5813.0,HR/Normal user tries to update the answer,07-MAR-25 09.21.46.901000 AM
13002602.0,Dettaglio elenco Cedolini e CU disponibili al download,09-MAR-25 12.34.56.196000 PM
16534.0,HR/Normal user tries to update the answer,07-MAR-25 08.43.15.163000 AM
6327.0,Normal user enters the Provvidenza Figli page,07-MAR-25 08.38.21.801000 AM
