CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
17107.0,Recupero dettagliutente per Scelta Welfare,03-JUN-24 05.23.20.039000 PM
8028.0,Recupero dettagliutente per Scelta Welfare,03-JUN-24 05.12.18.794000 PM
5297.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,28-JUN-24 04.13.25.737000 PM
19323.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,10-JUN-24 11.00.19.016000 AM
6076.0,Recupero dettagliutente per Scelta Welfare,10-JUN-24 11.00.59.894000 AM
17108.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,10-JUN-24 11.19.04.637000 AM
13002063.0,Download PDF dalla sezione Cedolini,30-JUN-24 08.53.30.243000 AM
8110.0,Recupero dettagliutente per Scelta Welfare,10-JUN-24 11.13.11.469000 AM
13001924.0,Lettura e accettazione dell'accordo di smartworking,03-JUN-24 05.36.12.215000 PM
13000755.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,10-JUN-24 11.01.45.515000 AM
5903.0,Recupero dettagliutente per Scelta Welfare,10-JUN-24 10.45.51.061000 AM
12131995.0,Recupero dettagliutente per Scelta Welfare,18-JUN-24 08.57.42.813000 AM
9785.0,Dettaglio elenco Cedolini e CU disponibili al download,10-JUN-24 10.55.17.178000 AM
13001246.0,Recupero dettagliutente per Scelta Welfare,10-JUN-24 10.54.48.144000 AM
7865.0,Recupero dettagliutente per Scelta Welfare,10-JUN-24 10.51.52.902000 AM
5297.0,Recupero dettagliutente per Scelta Welfare,28-JUN-24 03.56.00.955000 PM
13001883.0,Download PDF dalla sezione Cedolini,28-JUN-24 04.37.27.066000 PM
8319.0,Download PDF dalla sezione Cedolini,19-JUN-24 01.42.20.021000 PM
5443.0,Recupero dettagliutente per Scelta Welfare,10-JUN-24 10.49.10.306000 AM
13000271.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,03-JUN-24 05.23.56.798000 PM
5180.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,04-JUN-24 06.31.18.864000 PM
6913.0,Recupero dettagliutente per Scelta Welfare,03-JUN-24 04.47.00.541000 PM
15576.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,10-JUN-24 10.55.16.785000 AM
13002063.0,Download PDF dalla sezione Cedolini,30-JUN-24 08.53.28.310000 AM
17160.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,10-JUN-24 10.41.52.474000 AM
