CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
13000479.0,Dettaglio elenco Cedolini e CU disponibili al download,27-OCT-23 04.31.09.531000 PM
13001478.0,Download PDF dalla sezione Cedolini,27-OCT-23 08.53.34.792000 AM
9895.0,Download PDF dalla sezione Cedolini,27-OCT-23 01.46.13.971000 PM
13000782.0,Download PDF dalla sezione Cedolini,27-OCT-23 01.56.48.256000 PM
6359.0,Normal user assign new grade for the child while creating a request,04-OCT-23 02.47.03.181000 PM
14443.0,Download PDF dalla sezione Cedolini,27-OCT-23 12.15.56.628000 PM
13001175.0,Normal user enters the Provvidenza Figli page,26-OCT-23 02.55.08.430000 PM
13001231.0,HR/Normal user tries to update the answer,05-OCT-23 09.27.15.777000 AM
5227.0,Normal user tries to create new Provvidenza request for a child,05-OCT-23 10.07.53.530000 AM
13000958.0,Dettaglio elenco Cedolini e CU disponibili al download,27-OCT-23 08.55.10.963000 AM
13001221.0,Download PDF dalla sezione Cedolini,27-OCT-23 08.49.48.167000 AM
9473.0,HR/Normal user tries to update the answer,04-OCT-23 02.43.57.661000 PM
6355.0,Normal user enters the Provvidenza Figli page,13-OCT-23 01.19.42.109000 PM
5309.0,Normal user tries to create new Provvidenza request for a child,05-OCT-23 12.17.12.448000 PM
5351.0,Normal user update grade for a child,05-OCT-23 09.55.42.930000 AM
5663.0,Normal / HR user updates the answer,05-OCT-23 06.47.15.425000 PM
5548.0,A valid user enters the MIFID page details of the user would be logged,31-OCT-23 08.42.05.060000 AM
6787.0,Normal user assign new grade for the child while creating a request,12-OCT-23 03.42.33.366000 PM
8274.0,HR/Normal user tries to update the answer,13-OCT-23 12.42.33.047000 PM
13001445.0,Download PDF dalla sezione Cedolini,27-OCT-23 08.50.42.994000 AM
10698.0,Download PDF dalla sezione Cedolini,27-OCT-23 08.52.50.970000 AM
13000760.0,Normal user enters the Provvidenza Figli page,12-OCT-23 05.11.49.709000 AM
13001739.0,Dettaglio elenco Cedolini e CU disponibili al download,27-OCT-23 03.36.40.098000 PM
6938.0,Normal user enters the Provvidenza Figli page,04-OCT-23 02.45.59.928000 PM
6277.0,HR/Normal user tries to update the answer,10-OCT-23 09.54.40.341000 AM
6277.0,Normal user enters the Provvidenza Figli page,10-OCT-23 09.55.22.480000 AM
5240.0,HR/Normal user tries to update the answer,12-OCT-23 10.36.30.593000 AM
6277.0,Normal user assign new grade for the child while creating a request,10-OCT-23 09.54.13.330000 AM
13001505.0,Recupero dettagli utente per Scelta orario di lavoro,04-OCT-23 04.21.20.570000 PM
13001718.0,Download PDF dalla sezione Cedolini,27-OCT-23 08.55.51.636000 AM
7626.0,Normal user enters the Provvidenza Figli page,04-OCT-23 02.44.00.700000 PM
13000899.0,Dettaglio elenco Cedolini e CU disponibili al download,27-OCT-23 08.53.16.147000 AM
14493.0,Normal user assign new grade for the child while creating a request,04-OCT-23 02.47.48.842000 PM
5309.0,HR/Normal user tries to update the answer,05-OCT-23 12.17.53.704000 PM
5694.0,HR/Normal user tries to update the answer,17-OCT-23 12.05.47.999000 PM
13001505.0,Dettaglio elenco Cedolini e CU disponibili al download,04-OCT-23 04.20.33.376000 PM
9635.0,Dettaglio elenco Cedolini e CU disponibili al download,02-OCT-23 06.55.37.617000 PM
7163.0,Normal user tries to create new Provvidenza request for a child,04-OCT-23 06.24.12.588000 PM
7506.0,Normal user tries to create new Provvidenza request for a child,04-OCT-23 07.10.10.384000 PM
13001081.0,Dettaglio elenco Cedolini e CU disponibili al download,04-OCT-23 09.15.56.582000 AM
18554.0,HR tried to update grade,15-OCT-23 10.09.43.245000 PM
6547.0,HR/Normal user tries to update the answer,04-OCT-23 03.22.25.864000 PM
5616.0,Normal user enters the Provvidenza Figli page,04-OCT-23 05.14.22.488000 PM
6099.0,HR/Normal user tries to update the answer,04-OCT-23 03.41.36.818000 PM
5290.0,Normal user enters the Provvidenza Figli page,04-OCT-23 03.23.05.833000 PM
7429.0,Dettaglio elenco Cedolini e CU disponibili al download,10-OCT-23 03.08.04.558000 PM
