SYSTEM_ID,CASE_ID,LG_USER_ID,LG_ID_SOGGETTO,LG_LOG_TIME,LG_TERMINAL_NAME,LG_IP_ADDRESS,LG_MAC_ADDRESS,LG_CHANNEL,LG_ROLE,LG_CDR_NAME,LG_ID_SUCCURSALE,LG_ID_BANCA,LG_OPERATION_CODE,LG_NUMERO_CONTO_PARTENZA,LG_DIVISA_PARTENZA,LG_IMPORTO_PARTENZA,LG_NUMERO_CONTO_ARRIVO,LG_DIVISA_ARRIVO,LG_IMPORTO_ARRIVO,LG_VALUTA_OPERAZIONE,LG_TIPO_TITOLO,LG_ID_SOGGETTO_TRATTATO,LG_NUMERO_ORDINE,LG_OPERATION_RESULT,LG_OPCODE_DESCRIPTION,LG_APPLICATION,LG_APPLICATION_RESPONSIBLE,LG_OPERATION_TYPE,LG_OPERATION_FROM,LG_PROCESS_CODE,LG_SUBPROCESS_CODE,LG_LOG_TIME_TIMESTAMP
MySella,5118,BSPB0,784,01/03/2024 16:27:19,,213.218.53.172,,INTRANET,DIPENDENTE,099D84,,1,RUMODHR_FL_INS_ANS,,,,,,,,,,,SUCCESS,HR/Normal user tries to update the answer,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 04.27.19.136000 PM
MySella,5616,BSSQ6,1523,01/03/2024 15:50:59,,213.218.53.172,,INTRANET,DIPENDENTE,099D20,,1,RUMODHR_FLGT_CHILD,,,,,,,,,,,SUCCESS,Normal user enters the Provvidenza Figli page,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 03.50.59.523000 PM
MySella,5352,BSC23,1109,01/03/2024 16:56:55,,213.218.53.172,,INTRANET,DIPENDENTE,099A73,,1,RUMODHR_FLGT_CHILD,,,,,,,,,,,SUCCESS,Normal user enters the Provvidenza Figli page,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 04.56.55.288000 PM
MySella,7044,BSOH0,1306443,01/03/2024 16:29:38,,213.218.53.172,,INTRANET,DIPENDENTE,099I78,,1,RUMODHR_FLGT_CHILD,,,,,,,,,,,SUCCESS,Normal user enters the Provvidenza Figli page,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 04.29.38.460000 PM
MySella,13002300,GBS09841,-1,01/03/2024 16:50:50,,213.218.53.172,,INTRANET,Gateway,,,-1,RUMODHR_CED_DTS,,,,,,,,,,,SUCCESS,Dettaglio elenco Cedolini e CU disponibili al download,Gestione Amministrativa del Personale,CONK19,sola lettura,Back-Office,,,01-MAR-24 04.50.50.436000 PM
MySella,5736,STS112,1514132,01/03/2024 15:51:20,,213.218.53.172,,INTRANET,DIPGRUPPO,ST0112,,1483455,RUMODHR_FL_INS_ANS,,,,,,,,,,,SUCCESS,HR/Normal user tries to update the answer,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 03.51.20.457000 PM
MySella,5750,BSM67,1733,01/03/2024 16:31:04,,213.218.53.172,,INTRANET,DIPENDENTE,099I89,,1,RUMODHR_FL_INS_ANS,,,,,,,,,,,SUCCESS,HR/Normal user tries to update the answer,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 04.31.04.858000 PM
MySella,5163,SHBR02,1589521,04/03/2024 14:17:04,,213.218.53.172,,INTRANET,DIPENDENTE,099C78,,1483455,RUMODHR_FL_INS_GR,,,,,,,,,,,SUCCESS,Normal user assign new grade for the child while creating a request,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,04-MAR-24 02.17.04.540000 PM
MySella,6417,BSTF8,3999927,01/03/2024 15:55:46,,213.218.53.172,,INTRANET,DIPENDENTE,03C83C,,1,RUMODHR_FL_INS_ANS,,,,,,,,,,,SUCCESS,HR/Normal user tries to update the answer,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 03.55.46.320000 PM
MySella,5346,AX2007,11142475,01/03/2024 15:59:18,,213.218.53.172,,INTRANET,DIPENDENTE,AX0036,,10824272,RUMODHR_FL_UPD_GR,,,,,,,,,,,SUCCESS,Normal user update grade for a child,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 03.59.18.388000 PM
MySella,6417,BSTF8,3999927,01/03/2024 15:55:35,,213.218.53.172,,INTRANET,DIPENDENTE,03C83C,,1,RUMODHR_FL_UP_ANS,,,,,,,,,,,SUCCESS,Normal / HR user updates the answer,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 03.55.35.160000 PM
MySella,6783,BSOU7,692168,01/03/2024 15:45:37,,213.218.53.172,,INTRANET,DIPENDENTE,099F12,,1,RUMODHR_WLFR_DETAILS,,,,,,,,,,,SUCCESS,Recupero dettagliutente per Scelta Welfare,Gestione Amministrativa del Personale,STS419,informativa,Back-Office,,,01-MAR-24 03.45.37.401000 PM
MySella,7063,SHBR07,2024562,01/03/2024 16:10:50,,213.218.53.172,,INTRANET,DIPENDENTE,099E23,,1483455,RUMODHR_FLGT_CHILD,,,,,,,,,,,SUCCESS,Normal user enters the Provvidenza Figli page,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 04.10.50.929000 PM
MySella,5346,AX2007,11142475,01/03/2024 15:59:28,,213.218.53.172,,INTRANET,DIPENDENTE,AX0036,,10824272,RUMODHR_FLGT_CHILD,,,,,,,,,,,SUCCESS,Normal user enters the Provvidenza Figli page,Gestione Amministrativa del Personale,SBAI481,dispositiva non contabile,Back-Office,,,01-MAR-24 03.59.28.105000 PM
